Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/1/2019 9:00,000052525000,2,60,2,Northbound Lane 2,1,North,224,8192,Checked,32738,16,1,0,0,0,0,0,0,1,7,49,93,48,18,5,2,0,
3/1/2019 9:00,000052525000,2,60,3,Southbound Lane 1,2,South,571,8192,Checked,32738,16,1,0,0,0,0,0,3,21,117,272,133,15,6,3,0,0,
3/1/2019 9:00,000052525000,2,60,4,Southbound Lane 2,2,South,475,8192,Checked,32738,16,0,0,0,0,0,0,0,0,4,73,228,133,33,3,1,0,
3/1/2019 10:00,000052525000,2,60,1,Northbound Lane 1,1,North,350,8192,Checked,32738,16,0,0,0,0,0,1,5,31,96,146,57,14,0,0,0,0,
3/1/2019 10:00,000052525000,2,60,2,Northbound Lane 2,1,North,253,8192,Checked,32738,16,0,0,0,0,0,0,3,10,44,73,94,22,6,1,0,0,
3/1/2019 10:00,000052525000,2,60,3,Southbound Lane 1,2,South,522,8192,Checked,32738,16,1,0,0,0,0,1,4,43,147,226,84,13,3,0,0,0,
3/1/2019 10:00,000052525000,2,60,4,Southbound Lane 2,2,South,436,8192,Checked,32738,16,1,0,0,0,0,0,1,2,26,100,213,81,9,3,0,0,
3/1/2019 11:00,000052525000,2,60,1,Northbound Lane 1,1,North,433,8192,Checked,32738,16,0,0,0,0,0,0,3,16,125,211,68,8,2,0,0,0,
3/1/2019 11:00,000052525000,2,60,2,Northbound Lane 2,1,North,261,8192,Checked,32738,16,0,0,0,1,0,1,0,4,16,81,108,40,9,1,0,0,
3/1/2019 11:00,000052525000,2,60,3,Southbound Lane 1,2,South,532,8192,Checked,32738,16,0,0,0,0,1,1,6,32,163,246,65,14,3,1,0,0,
3/1/2019 11:00,000052525000,2,60,4,Southbound Lane 2,2,South,346,8192,Checked,32738,16,0,0,0,0,0,0,0,3,15,110,144,63,10,1,0,0,
3/1/2019 12:00,000052525000,2,60,1,Northbound Lane 1,1,North,471,8192,Checked,32738,16,0,0,0,0,0,1,5,13,110,216,102,21,3,0,0,0,
3/1/2019 12:00,000052525000,2,60,2,Northbound Lane 2,1,North,299,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,78,154,55,8,0,1,0,
3/1/2019 12:00,000052525000,2,60,3,Southbound Lane 1,2,South,541,8192,Checked,32738,16,1,0,0,0,0,0,2,25,153,273,70,15,2,0,0,0,
3/1/2019 12:00,000052525000,2,60,4,Southbound Lane 2,2,South,382,8192,Checked,32738,16,0,0,0,0,0,0,0,0,7,99,204,67,5,0,0,0,
3/1/2019 13:00,000052525000,2,60,1,Northbound Lane 1,1,North,554,8192,Checked,32738,16,0,0,0,0,0,1,4,33,136,241,119,17,3,0,0,0,
3/1/2019 13:00,000052525000,2,60,2,Northbound Lane 2,1,North,415,8192,Checked,32738,16,0,0,0,0,0,0,0,0,12,140,192,58,13,0,0,0,
3/1/2019 13:00,000052525000,2,60,3,Southbound Lane 1,2,South,497,8192,Checked,32738,16,0,0,0,0,0,0,9,28,134,242,68,12,4,0,0,0,
3/1/2019 13:00,000052525000,2,60,4,Southbound Lane 2,2,South,340,8192,Checked,32738,16,1,0,0,0,0,0,0,1,13,99,159,57,9,1,0,0,
3/1/2019 14:00,000052525000,2,60,1,Northbound Lane 1,1,North,640,8192,Checked,32738,16,0,0,0,0,0,0,3,25,168,288,134,18,4,0,0,0,
3/1/2019 14:00,000052525000,2,60,2,Northbound Lane 2,1,North,599,8192,Checked,32738,16,0,0,0,0,0,0,0,1,21,168,263,131,15,0,0,0,
3/1/2019 14:00,000052525000,2,60,3,Southbound Lane 1,2,South,547,8192,Checked,32738,16,0,0,0,0,0,0,2,33,153,248,97,13,1,0,0,0,
3/1/2019 14:00,000052525000,2,60,4,Southbound Lane 2,2,South,354,8192,Checked,32738,16,0,0,0,0,0,0,0,3,13,85,190,49,14,0,0,0,
3/1/2019 15:00,000052525000,2,60,1,Northbound Lane 1,1,North,742,8192,Checked,32738,16,1,0,0,0,0,0,6,24,160,340,179,26,5,1,0,0,
3/1/2019 15:00,000052525000,2,60,2,Northbound Lane 2,1,North,877,8192,Checked,32738,16,0,0,0,0,0,0,0,1,11,130,474,228,30,3,0,0,
3/1/2019 15:00,000052525000,2,60,3,Southbound Lane 1,2,South,520,8192,Checked,32738,16,0,0,0,0,0,0,3,29,143,234,93,16,1,0,1,0,
3/1/2019 15:00,000052525000,2,60,4,Southbound Lane 2,2,South,364,8192,Checked,32738,16,0,0,0,0,0,0,0,0,7,84,177,73,22,1,0,0,
3/1/2019 16:00,000052525000,2,60,1,Northbound Lane 1,1,North,926,8192,Checked,32738,16,1,0,0,0,0,0,14,89,259,385,143,26,9,0,0,0,
3/1/2019 16:00,000052525000,2,60,2,Northbound Lane 2,1,North,1429,8192,Checked,32738,16,1,0,0,0,0,4,17,42,134,376,587,245,20,2,1,0,
3/1/2019 16:00,000052525000,2,60,3,Southbound Lane 1,2,South,559,8192,Checked,32738,16,0,1,0,0,0,0,8,30,156,257,91,14,1,1,0,0,
3/1/2019 16:00,000052525000,2,60,4,Southbound Lane 2,2,South,435,8192,Checked,32738,16,0,0,0,0,0,0,0,2,17,101,215,85,11,4,0,0,
3/1/2019 17:00,000052525000,2,60,1,Northbound Lane 1,1,North,903,8192,Checked,32738,16,3,0,0,0,0,2,19,27,208,413,190,34,5,2,0,0,
3/1/2019 17:00,000052525000,2,60,2,Northbound Lane 2,1,North,1257,8192,Checked,32738,16,0,0,0,0,0,0,4,23,44,289,591,271,35,0,0,0,
