This report is based on the following selections
Site: Seward Highway @ Moose Pass MP 32
CDS Route Number: 1020000X000
Milepoint: 31.7
Period: Daily Averages for 31 Days Beginning 09/01/2019
Units: Degrees Fahrenheit

;"09/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"10/";
;"01";"02";"03";"04";"05";"06";"07";"08";"09";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"01"
Air;57.5;52.6;54.0;52.1;48.6;50.1;51.2;54.2;54.1;51.3;51.6;51.3;50.5;48.7;47.4;47.8;49.5;49.4;49.2;44.8;44.0;44.1;44.7;41.7;39.2;36.2;38.1;45.9;45.3;46.7;42.4
Sfc;58.9;56.8;59.0;57.9;57.9;57.3;53.8;58.5;58.3;56.9;56.6;53.6;55.1;54.4;50.3;51.4;53.1;52.3;52.1;47.9;49.2;48.5;49.0;46.0;41.4;38.0;40.4;44.9;44.2;47.8;45.3
Btm;60.3;59.2;58.6;58.6;58.4;57.7;56.9;56.3;57.2;57.2;56.5;56.0;55.3;55.2;54.1;53.1;52.8;53.0;52.8;51.7;51.0;50.1;50.7;49.0;47.6;45.4;43.8;44.2;45.3;45.6;46.8
3";60.4;59.5;58.8;58.7;58.4;57.9;57.2;56.4;57.1;57.1;56.6;56.2;55.5;55.3;54.5;53.4;53.1;53.1;52.9;52.1;51.3;50.5;51.0;49.4;48.2;46.3;44.7;44.7;45.5;45.7;46.7
6";60.6;59.9;59.1;58.9;58.6;58.2;57.6;56.7;57.1;57.2;56.8;56.4;55.7;55.5;54.9;53.9;53.4;53.4;53.2;52.6;51.7;51.0;51.5;49.9;48.9;47.3;45.6;45.3;45.8;46.0;46.9
9";60.8;60.1;59.3;59.0;58.7;58.3;57.8;57.0;57.1;57.2;56.9;56.6;55.9;55.7;55.2;54.2;53.7;53.6;53.3;52.8;51.9;51.3;51.8;50.3;49.4;47.9;46.4;45.8;46.1;46.2;46.9
12";60.9;60.2;59.4;59.1;58.8;58.4;58.0;57.2;57.1;57.2;57.0;56.7;56.1;55.8;55.4;54.5;54.0;53.8;53.5;53.1;52.2;51.7;52.2;50.6;49.9;48.7;47.2;46.4;46.5;46.6;47.1
18";61.0;60.5;59.8;59.3;59.0;58.7;58.3;57.6;57.3;57.3;57.2;56.9;56.5;56.1;55.8;55.1;54.6;54.2;53.8;53.5;52.8;52.3;52.9;51.4;50.8;49.9;48.7;47.7;47.5;47.4;47.6
24";60.9;60.5;59.9;59.4;59.1;58.8;58.4;57.9;57.4;57.3;57.2;57.0;56.7;56.3;56.0;55.6;55.0;54.5;54.0;53.8;53.2;52.7;53.5;51.9;51.5;50.8;49.9;49.0;48.5;48.3;48.2
30";61.0;60.6;60.1;59.7;59.3;59.0;58.7;58.2;57.8;57.6;57.5;57.3;57.0;56.7;56.4;56.0;55.6;54.9;54.4;54.1;53.6;53.3;54.2;52.6;52.3;51.8;51.1;50.3;49.7;49.4;49.0
36";60.7;60.3;59.9;59.5;59.2;58.9;58.6;58.1;57.8;57.6;57.4;57.2;57.0;56.7;56.5;56.2;55.8;54.8;54.5;54.0;53.7;53.6;54.5;53.1;52.8;52.5;51.9;51.3;50.7;50.3;49.5
42";60.4;60.1;59.7;59.4;59.1;58.8;58.5;58.1;57.9;57.6;57.5;57.3;57.0;56.8;56.6;56.3;56.0;54.5;54.7;53.8;53.9;53.9;54.8;53.5;53.3;53.0;52.6;52.1;51.6;51.2;49.7
48";59.8;59.6;59.3;59.1;58.7;58.5;58.1;57.8;57.7;57.4;57.2;57.0;56.8;56.6;56.4;56.2;55.8;54.2;54.5;53.5;53.8;53.9;55.0;53.6;53.5;53.2;52.9;52.5;52.1;51.5;49.5
54";59.5;59.4;59.2;59.0;58.7;58.4;58.1;57.8;57.7;57.5;57.3;57.1;56.9;56.7;56.5;56.3;56.0;54.3;54.7;53.7;54.0;54.2;55.3;53.9;53.8;53.6;53.3;53.0;52.6;52.0;49.6
60";59.0;58.9;58.8;58.6;58.3;58.1;57.9;57.7;57.5;57.2;57.1;56.8;56.7;56.5;56.4;56.2;55.8;54.3;54.7;53.7;54.0;54.2;55.2;54.0;53.9;53.7;53.5;53.1;52.9;52.3;49.7
66";58.6;58.5;58.5;58.3;58.1;57.9;57.7;57.7;57.3;57.1;57.0;56.8;56.7;56.5;56.4;56.2;55.9;54.4;54.8;54.0;54.2;54.4;55.3;54.2;54.0;53.9;53.7;53.4;53.2;52.7;49.9
72";58.1;58.0;58.0;57.8;57.6;57.5;57.4;57.4;57.1;56.9;56.7;56.5;56.6;56.3;56.2;56.0;55.8;54.5;54.9;54.1;54.3;54.4;55.3;54.2;54.1;54.0;53.8;53.6;53.4;52.9;49.9
